Rank	University	Continent	Country	Id
1	California Institute of Technology	North America	USA	1
2	Harvard	North America	USA	2
3	Oxford	Europe	GBR	3
4	Stanford	North America	USA	4
5	Cambridge	Europe	GBR	5
6	Massachusetts Institute of Technology	North America	USA	6
7	Princeton	North America	USA	7
8	"California, Berkeley"	North America	USA	8
9	Imperial College London	Europe	GBR	9
9	Yale	North America	USA	10
11	Chicago	North America	USA	11
12	"California, Los Angeles"	North America	USA	12
13	ETH Zurich - Swiss Federal Institute of Technology	Europe	CHE	13
14	Columbia	North America	USA	14
15	Johns Hopkins	North America	USA	15
16	Pennsylvania	North America	USA	16
17	Michigan	North America	USA	17
18	Duke	North America	USA	18
19	Cornell	North America	USA	19
20	Toronto	North America	CAN	20
21	Northwestern	North America	USA	21
22	University College London	Europe	GBR	22
23	Tokyo	Asia	JPN	23
24	Carneige Mellon	North America	USA	24
25	National University of Singapore	Asia	SGP	25
26	Washington	North America	USA	26
27	Georgia Institute of Technology	North America	USA	27
28	University of Austin at Texas	North America	USA	28
29	LMU Munich	Europe	DEU	29
29	Illinois at Urbana-Champaign	North America	USA	30
29	Wisconsin-Madison	North America	USA	31
32	British Columbia	North America	CAN	32
33	Melbourne	Oceania	AUS	33
34	London School of Economics and Political Science	Europe	GBR	34
34	Ecole Polytechnique Federale de Lausanne	Europe	CHE	35
36	Edinburgh	Europe	GBR	36
37	"California, Santa Barbara"	North America	USA	37
38	New York	North America	USA	38
39	McGill	North America	CAN	39
40	King's College London	Europe	GBR	40
41	"California, San Diego"	North America	USA	41
42	Washington University in St Louis	North America	USA	42
43	Hong Kong	Asia	HKG	43
44	Karolinska Institute	Europe	SWE	44
45	Australian National University	Oceania	AUS	45
46	Minnesota	North America	USA	46
46	University of North Carolina at Chapel Hill	North America	USA	47
48	Peking	Asia	CHN	48
49	Tsinghua	Asia	CHN	49
50	Seoul National University	Asia	ROK	50
51	Hong Kong University of Science and Technology	Asia	HKG	51
52	Korea Advanced Institute of Science and Technology (KAIST)	Asia	ROK	52
52	Manchester	Europe	GBR	53
54	Brown	North America	USA	54
55	KU Leuven	Europe	BEL	55
56	"California, Davis"	North America	USA	56
57	Boston	North America	USA	57
58	Pennsylvania	North America	USA	58
59	Kyoto	Asia	JPN	59
60	Sydney	Oceania	AUS	60
61	Nanyang Technological University	Asia	SGP	61
61	Ecole Polytechnique	Europe	FRA	62
63	Scuola Normale Superiore di Pisa	Europe	ITA	63
64	Leiden	Europe	NLD	64
65	Queensland	Oceania	AUS	65
66	Pohang University of Science and Technology	Asia	ROK	66
67	Gottingen	Europe	DEU	67
68	Ohio State	North America	USA	68
69	Rice	North America	USA	69
70	Heidelberg	Europe	DEU	70
71	Delft University of Technology	Europe	NLD	71
72	Erasmus University Rotterdam	Europe	NLD	72
73	Wageningen University and Research Center	Europe	NLD	73
74	Bristol	Europe	GBR	74
75	Basel	Europe	CHE	75
75	University of Southern California	North America	USA	76
77	Amsterdam	Europe	NLD	77
78	Ecole Normale Superieure	Europe	FRA	78
79	Utrecht	Europe	NLD	79
80	Humboldt University of Berlin	Europe	DEU	80
81	Free University of Berlin	Europe	DEU	81
82	Michigan State	North America	USA	82
83	Durham	Europe	GBR	83
84	Monash	Oceania	AUS	84
85	Middle East Technical University	Asia	TUR	85
86	Arizona	North America	USA	86
87	Notre Dame	North America	USA	87
88	Tufts	North America	USA	88
88	"California, Irvine"	North America	USA	89
90	Ghent	North America	USA	90
91	Massachusetts	North America	USA	91
91	Pittsburgh	North America	USA	92
93	Emory	North America	USA	93
94	McMaster	North America	CAN	94
94	Glasgow	Europe	GBR	95
96	Vanderbilt	North America	USA	96
97	Colorado Boulder	North America	USA	97
98	Stockholm	Europe	SWE	98
98	Technical University of Munich	Europe	DEU	99
98	Uppsala	Europe	SWE	100
101	Maastricht	Europe	NLD	101
102	Purdue	North America	USA	102
103	Pierre and Marie Curie University	Europe	FRA	103
103	Helsinki	Europe	FIN	104
103	Warwick	Europe	GBR	105
103	Zurich	Europe	CHE	106
107	Queen Mary University of London	Europe	GBR	107
107	Geneva	Europe	CHE	108
109	"California, Santa Cruz"	North America	USA	109
109	New South Wales	Oceania	AUS	110
111	St Andrews	Europe	GBR	111
111	Sussex	Europe	GBR	112
113	Montreal	North America	CAN	113
113	Tubingen	Europe	DEU	114
113	University of York	Europe	GBR	115
116	Case Western Reserve	North America	USA	116
117	Groningen	Europe	NLD	117
118	"Royal Holloway, University of London"	Europe	GBR	118
119	Lund	Europe	SWE	119
120	Paris-Sud	Europe	FRA	120
121	Technical University of Denmark	Europe	DNK	121
121	Rochester	North America	USA	122
121	Sheffield	Europe	GBR	123
124	Alberta	North America	CAN	124
124	Cape Town	Africa	ZAF	125
126	Boston College	North America	USA	126
126	KTH Royal Institute of Technology	Europe	SWE	127
126	Florida	North America	USA	128
129	Chinese University of Hong Kong	Asia	HKG	129
130	Virginia	North America	USA	130
131	Lancaster	Europe	GBR	131
132	Bern	Europe	CHE	132
132	"Maryland, College Park"	North America	USA	133
132	Southampton	North America	USA	134
135	Dresden University of Technology	Europe	DEU	135
136	Lausanne	Europe	CHE	136
136	VU University Amsterdam	Europe	NLD	137
138	Trinity College Dublin	Europe	IRL	138
139	Bogazici	Asia	TUR	139
140	Radboud University Nijmegen	Europe	NLD	140
141	Colorado School of Mines	North America	USA	141
141	Texas A&M University	North America	USA	142
141	Toyko Institute of Technology	Asia	JPN	143
144	Eindhoven University of Technology	Europe	NLD	144
144	"Rutgers, the State University of New Jersey"	North America	USA	145
146	Leeds	Europe	GBR	146
